territory,company,city,state,zip,current_rep,rep_tier,orders,net_sales,last_order,first_order,status,tier
Dallas (DFW),Wellskin Med Spa,Dallas,TX,75225,Jamie Bergeron,Existing,1,1687.5,2026-05-11,2026-05-11,CLAIMED (stays w/ rep),1
Dallas (DFW),McGuiness Dermatology & Plastic Surgery,Prosper,TX,75078,Jamie Bergeron,Existing,1,1518.75,2026-06-05,2026-06-05,CLAIMED (stays w/ rep),1
Dallas (DFW),Shots With Shaina,Blue Ridge,TX,75424,Lexi Cavaliere,1099,1,1518.75,2025-09-25,2025-09-25,CLAIMED (stays w/ rep),1
Dallas (DFW),Skin Envy & IV Bar,Corsicana,TX,75110,Julie Fetter,Existing,1,1518.75,2026-02-03,2026-02-03,CLAIMED (stays w/ rep),1
Dallas (DFW),Truly U Aesthetics and Wellness Studio,Weatherford,TX,76085,Julie Fetter,Existing,1,1518.75,2025-12-01,2025-12-01,CLAIMED (stays w/ rep),1
Dallas (DFW),Village Aesthetics,Plano,TX,75024,Julie Fetter,Existing,1,1518.75,2025-12-19,2025-12-19,CLAIMED (stays w/ rep),1
Dallas (DFW),Anusha Roy,Frisco,TX,75035,,,1,0.0,2026-03-19,2026-03-19,OPEN (1099 white space),1
Dallas (DFW),Jamie Bergeron,Allen,TX,75013,,,3,0.0,2026-04-13,2026-03-27,OPEN (1099 white space),1
Dallas (DFW),Undrdog Surface Products,Frisco,TX,75036,,,1,0.0,2024-06-20,2024-06-20,OPEN (1099 white space),1
Long Island / Queens,Redefining Health Medicine,Roslyn,NY,11576,Sonia Mace,Existing,6,10125.0,2026-04-21,2025-04-15,CLAIMED (stays w/ rep),1
Long Island / Queens,Epoch Dermatology,Garden City,NY,11530,,,1,9112.5,2025-09-19,2025-09-19,OPEN (1099 white space),1
Long Island / Queens,Beauty BOMB Aesthetics,Smithtown,NY,11787,Sonia Mace,Existing,3,5988.75,2026-04-17,2025-05-23,CLAIMED (stays w/ rep),1
Long Island / Queens,Gold Coast Dermatology,Commack,NY,11725,Sonia Mace,Existing,3,4893.75,2026-04-30,2025-02-26,CLAIMED (stays w/ rep),1
Long Island / Queens,Skinfluence,Dix Hills,NY,11746,Sonia Mace,Existing,4,4824.0,2026-05-14,2025-10-14,CLAIMED (stays w/ rep),1
Long Island / Queens,We Drive Health,Albertson,NY,11507,Sonia Mace,Existing,2,3375.0,2026-03-27,2025-12-16,CLAIMED (stays w/ rep),1
Long Island / Queens,NYBRA Plastic Surgery,Great Neck,NY,11021,Sonia Mace,Existing,1,2301.75,2026-05-29,2026-05-29,CLAIMED (stays w/ rep),1
Long Island / Queens,Erin Negron,Smithtown,NY,11787,Sonia Mace,Existing,1,1687.5,2026-04-24,2026-04-24,CLAIMED (stays w/ rep),1
Long Island / Queens,Loveyourskinbyev,Valley Stream,NY,11581,,,1,1687.5,2025-08-25,2025-08-25,OPEN (1099 white space),1
Long Island / Queens,Port MD Medical Wellness,Port Jefferson,NY,11777,,,1,1687.5,2025-03-28,2025-03-28,OPEN (1099 white space),1
Long Island / Queens,Revivaluxe Aesthetics and Wellness,Garden City,NY,11530,Sonia Mace,Existing,1,1687.5,2026-03-10,2026-03-10,CLAIMED (stays w/ rep),1
Long Island / Queens,Vixsthetics,Merrick,NY,11566,Sonia Mace,Existing,1,1687.5,2026-03-31,2026-03-31,CLAIMED (stays w/ rep),1
Long Island / Queens,Samukh Sood,Garden City,NY,11530,,,5,869.0,2026-04-23,2026-03-27,OPEN (1099 white space),1
Nevada (Las Vegas),Vivida Dermatology,Las Vegas,NV,89148,James Tuckett,New,3,6322.5,2026-04-27,2026-02-03,CLAIMED (stays w/ rep),1
Nevada (Las Vegas),Skin Cancer & Dermatology Institute,Reno,NV,89509,Denisse Schimelpfening,Existing,2,3375.0,2025-10-28,2025-09-08,CLAIMED (stays w/ rep),1
Nevada (Las Vegas),SLS Aesthetics LV,Henderson,NV,89044,James Tuckett,New,2,3375.0,2026-06-02,2025-10-29,CLAIMED (stays w/ rep),1
Nevada (Las Vegas),United Dermpartners,Reno,NV,89509,James Tuckett,New,2,3375.0,2026-03-20,2026-01-13,CLAIMED (stays w/ rep),1
Nevada (Las Vegas),Velvaere Aesthetics,Henderson,NV,89012,James Tuckett,New,1,2062.5,2026-03-16,2026-03-16,CLAIMED (stays w/ rep),1
Nevada (Las Vegas),Christen Bryant,Las Vegas,NV,89145,Denisse Schimelpfening,Existing,1,1687.5,2025-06-03,2025-06-03,CLAIMED (stays w/ rep),1
Nevada (Las Vegas),Hall and Wrye Plastic Surgeons and Medical Spa,Reno,NV,89511,,,1,1687.5,2024-10-01,2024-10-01,OPEN (1099 white space),1
Nevada (Las Vegas),Limitless Longevity,Henderson,NV,89012,James Tuckett,New,1,1687.5,2026-03-06,2026-03-06,CLAIMED (stays w/ rep),1
Nevada (Las Vegas),Vitality Forever,Las Vegas,NV,89113,Becky Curry,Existing,1,1687.5,2024-08-09,2024-08-09,CLAIMED (stays w/ rep),1
Nevada (Las Vegas),Elever Aesthetics and Wellness,Henderson,NV,89002,Denisse Schimelpfening,Existing,1,1587.5,2025-12-29,2025-12-29,CLAIMED (stays w/ rep),1
Ohio (Columbus/Cleveland),Skin Beautiful Rx,Powell,OH,43065,Sherry Quinn,Existing,12,59389.5,2026-05-29,2026-01-09,CLAIMED (stays w/ rep),1
Ohio (Columbus/Cleveland),Revital Medical Aesthetics,Westlake,OH,44145,Sherry Quinn,Existing,2,13567.5,2025-09-25,2025-07-25,CLAIMED (stays w/ rep),1
Ohio (Columbus/Cleveland),Pura Vida Wellness,Mentor,OH,44060,Sherry Quinn,Existing,7,12663.0,2026-04-02,2025-06-03,CLAIMED (stays w/ rep),1
Ohio (Columbus/Cleveland),Queen City Dermatology,Cincinnati,OH,45249,Sherry Quinn,Existing,6,10125.0,2026-06-05,2025-08-22,CLAIMED (stays w/ rep),1
Ohio (Columbus/Cleveland),ADA Aesthetics l Dermatology Associates,Perrysburg,OH,43551,Sherry Quinn,Existing,6,9956.25,2026-06-02,2024-12-06,CLAIMED (stays w/ rep),1
Ohio (Columbus/Cleveland),Lucy's Laser & Med Spa,Mentor,OH,44060,Sherry Quinn,Existing,3,8077.5,2026-03-18,2025-07-23,CLAIMED (stays w/ rep),1
Ohio (Columbus/Cleveland),Cincinnati Skin Center,Cincinnati,OH,45236,Sherry Quinn,Existing,4,7920.0,2026-05-27,2025-10-28,CLAIMED (stays w/ rep),1
Ohio (Columbus/Cleveland),Allied Dermatology,Akron,OH,44333,Sherry Quinn,Existing,4,6581.25,2026-04-08,2025-01-06,CLAIMED (stays w/ rep),1
Ohio (Columbus/Cleveland),Jenerous Hydration,Dover,OH,44622,Sherry Quinn,Existing,2,6557.81,2026-06-10,2026-05-22,CLAIMED (stays w/ rep),1
Ohio (Columbus/Cleveland),Mitchell Dermatolgy,Perrysburg,OH,43551,Sherry Quinn,Existing,4,6412.5,2026-01-23,2025-03-28,CLAIMED (stays w/ rep),1
Ohio (Columbus/Cleveland),Columbus Aesthetics and Plastic Surgery,Upper Arlington,OH,43220,Sherry Quinn,Existing,5,6367.5,2026-06-02,2025-08-27,CLAIMED (stays w/ rep),1
Ohio (Columbus/Cleveland),Megs Med Spa,Willoughby,OH,44094,Sherry Quinn,Existing,2,6210.0,2026-03-20,2025-06-17,CLAIMED (stays w/ rep),1
Ohio (Columbus/Cleveland),Columbus Aesthetics and Plastic Surgery,Gahanna,OH,43230,Sherry Quinn,Existing,4,6052.5,2026-04-13,2025-08-27,CLAIMED (stays w/ rep),1
Ohio (Columbus/Cleveland),Kelly Gericke,Archbold,OH,43502,Sherry Quinn,Existing,4,5175.0,2026-05-29,2025-07-18,CLAIMED (stays w/ rep),1
Ohio (Columbus/Cleveland),Cosmopolitan Dermatology,Shaker Heights,OH,44122,Sherry Quinn,Existing,3,5062.5,2026-04-29,2025-12-17,CLAIMED (stays w/ rep),1
Ohio (Columbus/Cleveland),Parker Skin & Aesthetic Clinic,Beachwood,OH,44122,Sherry Quinn,Existing,3,5062.5,2026-06-02,2025-09-30,CLAIMED (stays w/ rep),1
Ohio (Columbus/Cleveland),The Concierge Clinic,Brecksville,OH,44141,Sherry Quinn,Existing,3,5062.5,2026-06-04,2026-02-05,CLAIMED (stays w/ rep),1
Ohio (Columbus/Cleveland),Willow Boutique Med Spa,Avon,OH,44011,Sherry Quinn,Existing,3,5062.5,2026-04-30,2025-08-11,CLAIMED (stays w/ rep),1
Ohio (Columbus/Cleveland),Apex Dermatology of Mayfield Heights,Mayfield Heights,OH,44124,Sherry Quinn,Existing,3,4882.5,2026-06-17,2026-03-05,CLAIMED (stays w/ rep),1
Ohio (Columbus/Cleveland),The Standard Med Spa,North Royalton,OH,44133,Sherry Quinn,Existing,2,4732.5,2026-04-23,2026-04-13,CLAIMED (stays w/ rep),1
Ohio (Columbus/Cleveland),Ada Aesthetics,Perrysburg,OH,43551,Sherry Quinn,Existing,2,3375.0,2025-06-09,2025-03-24,CLAIMED (stays w/ rep),1
Ohio (Columbus/Cleveland),Docere Med Spa,Strongsville,OH,44136,Sherry Quinn,Existing,2,3375.0,2026-06-09,2025-12-03,CLAIMED (stays w/ rep),1
Ohio (Columbus/Cleveland),Revive Wellness Group,Perrysburg,OH,43551,Sherry Quinn,Existing,2,3375.0,2026-04-22,2026-02-11,CLAIMED (stays w/ rep),1
Ohio (Columbus/Cleveland),The Facebar,Columbus,OH,43230,Sherry Quinn,Existing,3,3375.0,2026-03-23,2025-11-20,CLAIMED (stays w/ rep),1
Ohio (Columbus/Cleveland),B Radiant Wellness,Newcomerstown,OH,43832,Sherry Quinn,Existing,1,3345.0,2026-04-07,2026-04-07,CLAIMED (stays w/ rep),1
Ohio (Columbus/Cleveland),Apex Dermatology,Canton,OH,44718,Sherry Quinn,Existing,2,3195.0,2026-04-02,2025-11-21,CLAIMED (stays w/ rep),1
Ohio (Columbus/Cleveland),Apex Skin Medina,Medina,OH,44256,Sherry Quinn,Existing,2,3195.0,2026-06-17,2026-03-05,CLAIMED (stays w/ rep),1
Ohio (Columbus/Cleveland),Apex Dermatology,Mayfield Heights,OH,44124,Sherry Quinn,Existing,2,2941.88,2025-11-21,2025-08-27,CLAIMED (stays w/ rep),1
Ohio (Columbus/Cleveland),Undynable Wellness and Aesthetics,Toledo,OH,43606,Sherry Quinn,Existing,1,2719.13,2026-04-30,2026-04-30,CLAIMED (stays w/ rep),1
Ohio (Columbus/Cleveland),Aesthete Skin Studio,Westerville,OH,43082,Sherry Quinn,Existing,1,1687.5,2026-05-22,2026-05-22,CLAIMED (stays w/ rep),1
Ohio (Columbus/Cleveland),Apex Dermatology Concord,Concord Township,OH,44077,Sherry Quinn,Existing,1,1687.5,2026-04-10,2026-04-10,CLAIMED (stays w/ rep),1
Ohio (Columbus/Cleveland),Cleer Skin Aesthetics,Greenville,OH,45331,Sherry Quinn,Existing,1,1687.5,2026-01-12,2026-01-12,CLAIMED (stays w/ rep),1
Ohio (Columbus/Cleveland),Cleveland Health Group,Independence,OH,44131,Sherry Quinn,Existing,1,1687.5,2026-01-29,2026-01-29,CLAIMED (stays w/ rep),1
Ohio (Columbus/Cleveland),Em + Zen Aesthetic Medicine,Upper Arlington,OH,43221,Sherry Quinn,Existing,1,1687.5,2026-03-05,2026-03-05,CLAIMED (stays w/ rep),1
Ohio (Columbus/Cleveland),Emerald Aesthetics,Dublin,OH,43017,Sherry Quinn,Existing,1,1687.5,2026-03-05,2026-03-05,CLAIMED (stays w/ rep),1
Ohio (Columbus/Cleveland),Glow Bar Aesthetics,Broadview Heights,OH,44147,Sherry Quinn,Existing,1,1687.5,2025-12-05,2025-12-05,CLAIMED (stays w/ rep),1
Ohio (Columbus/Cleveland),"Refined Aesthetics, LLC",Hudson,OH,44236,Sherry Quinn,Existing,1,1687.5,2025-12-15,2025-12-15,CLAIMED (stays w/ rep),1
Ohio (Columbus/Cleveland),Rocky River Med Spa,Rocky River,OH,44116,Sherry Quinn,Existing,1,1687.5,2026-03-19,2026-03-19,CLAIMED (stays w/ rep),1
Ohio (Columbus/Cleveland),Youthology Med Spa,Warren,OH,44483,Sherry Quinn,Existing,1,1687.5,2026-04-06,2026-04-06,CLAIMED (stays w/ rep),1
Ohio (Columbus/Cleveland),Onsite Medical,Sugarcreek,OH,44681,Sherry Quinn,Existing,1,1518.75,2025-06-02,2025-06-02,CLAIMED (stays w/ rep),1
Ohio (Columbus/Cleveland),Peace Love Tox,Chagrin Falls,OH,44022,,,1,1518.75,2025-01-10,2025-01-10,OPEN (1099 white space),1
Ohio (Columbus/Cleveland),Apex Dermatology,Lorain,OH,44053,Sherry Quinn,Existing,1,1507.5,2025-11-21,2025-11-21,CLAIMED (stays w/ rep),1
Ohio (Columbus/Cleveland),Apex Skin Hudson,Hudson,OH,44236,Sherry Quinn,Existing,1,1507.5,2026-03-05,2026-03-05,CLAIMED (stays w/ rep),1
Ohio (Columbus/Cleveland),Juvly Aesthetics-Cincinnati,Cincinnati,OH,45209,Sherry Quinn,Existing,1,1507.5,2026-05-18,2026-05-18,CLAIMED (stays w/ rep),1
Ohio (Columbus/Cleveland),Juvly Aesthetics-Cleveland,Cleveland,OH,44113,Sherry Quinn,Existing,1,1507.5,2026-05-18,2026-05-18,CLAIMED (stays w/ rep),1
Ohio (Columbus/Cleveland),Juvly Aesthetics-Downtown Columbus,Columbus,OH,43215,Sherry Quinn,Existing,1,1507.5,2026-05-18,2026-05-18,CLAIMED (stays w/ rep),1
Brooklyn / Staten Island,Osei-Tutu Dermatology & Hair Restoration,Brooklyn,NY,11226,Sonia Mace,Existing,8,13443.75,2026-03-12,2024-10-22,CLAIMED (stays w/ rep),2
Brooklyn / Staten Island,Khrom Aesthetics,Brooklyn,NY,11235,Sonia Mace,Existing,4,6581.25,2026-02-23,2025-03-13,CLAIMED (stays w/ rep),2
Brooklyn / Staten Island,IACT MedSpa,Staten Island,NY,10314,,,1,1687.5,2025-08-20,2025-08-20,OPEN (1099 white space),2
Brooklyn / Staten Island,Sunrise Medical Center,Brooklyn,NY,11220,Dia Lamport,Existing,1,1687.5,2025-11-05,2025-11-05,CLAIMED (stays w/ rep),2
Brooklyn / Staten Island,Vanguard Dermatology,Staten Island,NY,10314,Sonia Mace,Existing,1,1687.5,2026-06-09,2026-06-09,CLAIMED (stays w/ rep),2
Brooklyn / Staten Island,Vedette Beauty & Skincare,Brooklyn,NY,11210,Sonia Mace,Existing,1,1687.5,2026-02-03,2026-02-03,CLAIMED (stays w/ rep),2
Houston / South Texas,321 Skin Glow Med Spa,Conroe,TX,77385,Lexi Cavaliere,1099,10,48650.25,2026-05-12,2025-08-31,CLAIMED (stays w/ rep),2
Houston / South Texas,Bellaire Dermatology,Bellaire,TX,77401,Lexi Cavaliere,1099,17,32710.5,2026-06-03,2024-10-24,CLAIMED (stays w/ rep),2
Houston / South Texas,Therapy Hair Studio,Houston,TX,77027,Lexi Cavaliere,1099,5,15648.75,2026-02-03,2024-12-30,CLAIMED (stays w/ rep),2
Houston / South Texas,Westlake Dermatology,Austin,TX,78746,Lexi Cavaliere,1099,5,14895.0,2026-05-18,2025-08-01,CLAIMED (stays w/ rep),2
Houston / South Texas,C2 AESTHETICS,Leander,TX,78641,Lexi Cavaliere,1099,8,13500.0,2026-05-21,2024-11-07,CLAIMED (stays w/ rep),2
Houston / South Texas,The SkinMD,SAN ANTONIO,TX,78249,Lexi Cavaliere,1099,5,12640.5,2025-12-22,2025-02-13,CLAIMED (stays w/ rep),2
Houston / South Texas,Texas Dermatology,San Antonio,TX,78218,Lexi Cavaliere,1099,7,11812.5,2026-04-22,2025-05-27,CLAIMED (stays w/ rep),2
Houston / South Texas,Skin Parlor,Austin,TX,78745,Lexi Cavaliere,1099,6,11463.75,2026-03-10,2025-02-10,CLAIMED (stays w/ rep),2
Houston / South Texas,Houston Dermatology Associates,Houston,TX,77030,Lexi Cavaliere,1099,6,11272.5,2026-05-12,2025-07-30,CLAIMED (stays w/ rep),2
Houston / South Texas,Cinco Ranch Dermatology,Katy,TX,77494,Lexi Cavaliere,1099,5,10320.75,2026-05-27,2025-01-30,CLAIMED (stays w/ rep),2
Houston / South Texas,Sanova Dermatology,Bee Cave,TX,78738,Lexi Cavaliere,1099,6,10125.0,2026-04-09,2025-06-20,CLAIMED (stays w/ rep),2
Houston / South Texas,The One Med Spa,McAllen,TX,78501,Lexi Cavaliere,1099,2,9045.0,2026-04-28,2025-11-25,CLAIMED (stays w/ rep),2
Houston / South Texas,Complete Dermatology: Dr. Baumgardener & Dr. Wolf,Shenandoah,TX,77384,Lexi Cavaliere,1099,5,8437.5,2026-02-03,2025-01-31,CLAIMED (stays w/ rep),2
Houston / South Texas,Four Seasons OBGYN+MedSpa,San Antonio,TX,78229,Lexi Cavaliere,1099,5,8437.5,2026-05-14,2025-04-30,CLAIMED (stays w/ rep),2
Houston / South Texas,830 Wellness,Kerrville,TX,78028,Lexi Cavaliere,1099,5,8268.75,2026-04-20,2025-09-05,CLAIMED (stays w/ rep),2
Houston / South Texas,River Oaks Galleria Med Spa,Houston,TX,77027,Lexi Cavaliere,1099,5,8268.75,2026-04-15,2025-09-24,CLAIMED (stays w/ rep),2
Houston / South Texas,The Doctors Office,San Antonio,TX,78232,Lexi Cavaliere,1099,3,8077.5,2026-05-18,2025-09-23,CLAIMED (stays w/ rep),2
Houston / South Texas,Village Dermatology,Houston,TX,77063,Lexi Cavaliere,1099,3,8077.5,2026-04-28,2025-04-10,CLAIMED (stays w/ rep),2
Houston / South Texas,Hassler Dermatology,Houston,TX,77008,Lexi Cavaliere,1099,3,7917.75,2026-02-03,2025-02-25,CLAIMED (stays w/ rep),2
Houston / South Texas,SKIN BY DEEP ROOTS,Cedar Park,TX,78613,Lexi Cavaliere,1099,4,7898.0,2025-05-12,2024-09-25,CLAIMED (stays w/ rep),2
Houston / South Texas,"Skin by Deep Roots, Cedar Park",Cedar Park,TX,78613,Lexi Cavaliere,1099,5,7620.0,2026-06-09,2025-09-10,CLAIMED (stays w/ rep),2
Houston / South Texas,Rejuvenate Austin,Austin,TX,78703,Lexi Cavaliere,1099,3,7396.5,2026-05-14,2025-03-14,CLAIMED (stays w/ rep),2
Houston / South Texas,Hydration Station,Fredericksburg,TX,78624,Lexi Cavaliere,1099,5,7113.75,2026-06-04,2025-08-28,CLAIMED (stays w/ rep),2
Houston / South Texas,Alive and Well,Austin,TX,78736,Julie Fetter,Existing,4,6750.0,2025-12-22,2025-05-15,CLAIMED (stays w/ rep),2
Houston / South Texas,Bulverde Med Spa,Bulverde,TX,78163,Lexi Cavaliere,1099,4,6750.0,2026-05-20,2025-10-06,CLAIMED (stays w/ rep),2
Houston / South Texas,Fresh Aesthetics,Austin,TX,78746,Lexi Cavaliere,1099,4,6750.0,2026-05-15,2025-08-27,CLAIMED (stays w/ rep),2
Houston / South Texas,REFINE AESTHETICS,Austin,TX,78701,Lexi Cavaliere,1099,4,6750.0,2025-09-04,2024-10-30,CLAIMED (stays w/ rep),2
Houston / South Texas,Saxon MD Facial Plastic Surgery,Austin,TX,78737,Lexi Cavaliere,1099,4,6750.0,2026-03-04,2025-06-18,CLAIMED (stays w/ rep),2
Houston / South Texas,Mindful Skin Dermatology,San Antonio,TX,78216,Lexi Cavaliere,1099,2,6210.0,2026-06-11,2026-05-22,CLAIMED (stays w/ rep),2
Houston / South Texas,Oceanside Aesthetics & Wellness,Corpus Christi,TX,78418,Lexi Cavaliere,1099,5,5932.5,2026-06-12,2025-11-25,CLAIMED (stays w/ rep),2
Houston / South Texas,"Sonder Aesthetics, LLC",Beaumont,TX,77701,Lexi Cavaliere,1099,4,5763.75,2026-05-28,2025-11-26,CLAIMED (stays w/ rep),2
Houston / South Texas,"Advanced Dermatology,  a Forefront Dermatology Practice",Sugar Land,TX,77478,Lexi Cavaliere,1099,3,5062.5,2026-04-14,2025-11-12,CLAIMED (stays w/ rep),2
Houston / South Texas,Beyond Healthy MD,Austin,TX,78746,Lexi Cavaliere,1099,3,5062.5,2026-04-15,2025-06-30,CLAIMED (stays w/ rep),2
Houston / South Texas,BODY TONIC,Austin,TX,78746,Lexi Cavaliere,1099,3,5062.5,2025-08-27,2024-09-13,CLAIMED (stays w/ rep),2
Houston / South Texas,Muse Medspa,Austin,TX,78746,Lexi Cavaliere,1099,3,5062.5,2026-02-24,2025-06-06,CLAIMED (stays w/ rep),2
Houston / South Texas,Nova Aesthetics,San Antonio,TX,78216,Lexi Cavaliere,1099,3,5062.5,2026-04-22,2025-11-19,CLAIMED (stays w/ rep),2
Houston / South Texas,Rooted Femme,Austin,TX,78756,Lexi Cavaliere,1099,3,5062.5,2026-03-24,2025-05-06,CLAIMED (stays w/ rep),2
Houston / South Texas,San Antonio Med Spa,San Antonio,TX,78257,Lexi Cavaliere,1099,3,5062.5,2026-04-10,2025-09-19,CLAIMED (stays w/ rep),2
Houston / South Texas,Skin Envy,Austin,TX,78745,Lexi Cavaliere,1099,3,5062.5,2026-04-29,2024-12-20,CLAIMED (stays w/ rep),2
Houston / South Texas,"Rêve Dermatology & Aesthetics, LLC",The Woodlands,TX,77380,Lexi Cavaliere,1099,3,4893.75,2026-03-13,2025-03-24,CLAIMED (stays w/ rep),2
Houston / South Texas,WaxPro Esthetics,Willis,TX,77318,Lexi Cavaliere,1099,3,4893.75,2026-06-05,2025-10-24,CLAIMED (stays w/ rep),2
Houston / South Texas,Barbarino Surgical Arts,Austin,TX,78746,Lexi Cavaliere,1099,3,4809.37,2025-09-30,2024-11-18,CLAIMED (stays w/ rep),2
Houston / South Texas,Generational Beauty Medspa,The Woodlands,TX,77381,Lexi Cavaliere,1099,2,4713.75,2026-02-03,2025-12-04,CLAIMED (stays w/ rep),2
Houston / South Texas,Mederna Aesthetics and Wellness-Attn: Hilda Banegas,Houston,TX,77007,Lexi Cavaliere,1099,3,4563.0,2025-10-20,2025-02-14,CLAIMED (stays w/ rep),2
Houston / South Texas,Bay Area Aesthetics,Webster,TX,77598,Becky Curry,Existing,1,4522.5,2024-08-21,2024-08-21,CLAIMED (stays w/ rep),2
Houston / South Texas,Glamour Plastic Surgery and Med Spa,Bellaire,TX,77401,Lexi Cavaliere,1099,1,4070.25,2026-03-04,2026-03-04,CLAIMED (stays w/ rep),2
Houston / South Texas,Skin 101 Spring,Spring,TX,77379,Lexi Cavaliere,1099,1,4070.25,2024-11-22,2024-11-22,CLAIMED (stays w/ rep),2
Houston / South Texas,SKN Houston,Houston,TX,77006,Lexi Cavaliere,1099,1,4070.25,2025-01-25,2025-01-25,CLAIMED (stays w/ rep),2
Houston / South Texas,Attract Aesthetics,Austin,TX,78745,Lexi Cavaliere,1099,1,4021.5,2026-04-21,2026-04-21,CLAIMED (stays w/ rep),2
Houston / South Texas,REvIVe MedSpa & Wellness,Friendswood,TX,77546,Lexi Cavaliere,1099,3,3491.39,2026-04-16,2026-02-27,CLAIMED (stays w/ rep),2
Houston / South Texas,Advanced Dermatology-A Forefront Derm Practice,Houston,TX,77084,Lexi Cavaliere,1099,2,3375.0,2026-04-03,2026-02-19,CLAIMED (stays w/ rep),2
Houston / South Texas,Ann Webb Skin Clinic,Austin,TX,78759,Lexi Cavaliere,1099,2,3375.0,2026-02-26,2025-10-22,CLAIMED (stays w/ rep),2
Houston / South Texas,AUSTIN PLASTIC SURGERY INSTITUTE,West Lake Hills,TX,78746,Lexi Cavaliere,1099,2,3375.0,2025-04-16,2024-11-08,CLAIMED (stays w/ rep),2
Houston / South Texas,Kingwood Skin Essentials & Med Spa,Kingwood,TX,77339,Lexi Cavaliere,1099,2,3375.0,2025-08-31,2025-04-29,CLAIMED (stays w/ rep),2
Houston / South Texas,LaVraie Beaute',Boerne,TX,78006,Lexi Cavaliere,1099,2,3375.0,2026-04-20,2025-11-17,CLAIMED (stays w/ rep),2
Houston / South Texas,Micallef Plastic Surgery,Shavano Park,TX,78249,Lexi Cavaliere,1099,2,3375.0,2026-04-01,2025-10-15,CLAIMED (stays w/ rep),2
Houston / South Texas,"O Young, MD",Kerrville,TX,78028,Lexi Cavaliere,1099,2,3375.0,2026-05-15,2025-10-31,CLAIMED (stays w/ rep),2
Houston / South Texas,Pure Med Aesthetics,Edinburg,TX,78539,Lexi Cavaliere,1099,2,3375.0,2026-04-21,2026-03-05,CLAIMED (stays w/ rep),2
Houston / South Texas,Rae Anne Aesthetics,Spring,TX,77379,Lexi Cavaliere,1099,2,3375.0,2025-07-30,2025-03-11,CLAIMED (stays w/ rep),2
Houston / South Texas,Sanova Dermatology-Pflugerville,Pflugerville,TX,78660,Lexi Cavaliere,1099,2,3375.0,2026-05-22,2025-11-19,CLAIMED (stays w/ rep),2
Houston / South Texas,Saving Face,Austin,TX,78701,Lexi Cavaliere,1099,2,3375.0,2025-12-18,2025-09-26,CLAIMED (stays w/ rep),2
Houston / South Texas,Seeker Professional Aesthetics,Austin,TX,78758,Lexi Cavaliere,1099,2,3375.0,2026-03-20,2025-12-09,CLAIMED (stays w/ rep),2
Houston / South Texas,Sparkle Beauty & Wellness,Weslaco,TX,78599,Lexi Cavaliere,1099,2,3375.0,2026-05-21,2026-01-05,CLAIMED (stays w/ rep),2
Houston / South Texas,The Limmer Hair Transplant Center,San Antonio,TX,78213,Lexi Cavaliere,1099,2,3375.0,2026-04-21,2025-09-03,CLAIMED (stays w/ rep),2
Houston / South Texas,Beauty Dare Aesthetics,Laredo,TX,78046,Lexi Cavaliere,1099,2,3206.25,2026-02-06,2025-07-30,CLAIMED (stays w/ rep),2
Houston / South Texas,"RenewedYou, LLC",Corpus Christi,TX,78414,Lexi Cavaliere,1099,2,3206.25,2026-04-02,2025-07-30,CLAIMED (stays w/ rep),2
Houston / South Texas,Revolution Aesthetics and Wellness,Magnolia,TX,77354,Lexi Cavaliere,1099,2,3206.25,2026-02-03,2025-06-10,CLAIMED (stays w/ rep),2
Houston / South Texas,Unbothered Beauty Medspa,Huntsville,TX,77340,Lexi Cavaliere,1099,2,3206.25,2026-04-29,2026-02-05,CLAIMED (stays w/ rep),2
Houston / South Texas,"Monarch Master Injectors, Inc.",Baytown,TX,77523,Lexi Cavaliere,1099,1,3195.0,2025-09-30,2025-09-30,CLAIMED (stays w/ rep),2
Houston / South Texas,Alchemy Beauty,Austin,TX,78756,Lexi Cavaliere,1099,1,3037.5,2026-04-29,2026-04-29,CLAIMED (stays w/ rep),2
Houston / South Texas,Kare Infusion Center & Aesthetics,Beaumont,TX,77706,Lexi Cavaliere,1099,2,3037.5,2025-09-26,2025-03-26,CLAIMED (stays w/ rep),2
Houston / South Texas,Posh Tox Glow,Portland,TX,78374,Lexi Cavaliere,1099,2,3037.5,2025-11-18,2025-07-30,CLAIMED (stays w/ rep),2
Houston / South Texas,Complete Skin MD,Sugar Land,TX,77479,Lexi Cavaliere,1099,1,2875.5,2026-02-25,2026-02-25,CLAIMED (stays w/ rep),2
Houston / South Texas,Medspa at Villagio,Katy,TX,77450,Lexi Cavaliere,1099,1,2868.75,2024-12-30,2024-12-30,CLAIMED (stays w/ rep),2
Houston / South Texas,Austin Plastic & Reconstructive Surgery,Austin,TX,78705,Lexi Cavaliere,1099,1,2557.5,2026-04-06,2026-04-06,CLAIMED (stays w/ rep),2
Houston / South Texas,Best Life Healthcare,Dickinson,TX,77539,Lexi Cavaliere,1099,1,1837.5,2026-03-27,2026-03-27,CLAIMED (stays w/ rep),2
Houston / South Texas,COR Aesthetics,Round Rock,TX,78665,Lexi Cavaliere,1099,1,1837.5,2026-06-03,2026-06-03,CLAIMED (stays w/ rep),2
Houston / South Texas,The Aligne Method Aesthetics and Wellness,Shepherd,TX,77371,Lexi Cavaliere,1099,1,1837.5,2026-05-26,2026-05-26,CLAIMED (stays w/ rep),2
